,bins,freq
2,0.25050100200400804,0.18946373730214977
3,0.35070140280561124,0.14906685565792582
4,0.45090180360721444,0.12827781715095676
5,0.5511022044088176,0.09213323883770376
6,0.6513026052104209,0.07937632884479093
7,0.751503006012024,0.05244507441530829
8,0.8517034068136273,0.04890148830616584
9,0.9519038076152305,0.039924403496338294
10,1.0521042084168337,0.03118355776045358
11,1.152304609218437,0.020552799433026223
12,1.25250501002004,0.023387668320340185
13,1.3527054108216432,0.01795416961965509
14,1.4529058116232465,0.015828017954169618
15,1.5531062124248498,0.011811953697141508
16,1.653306613226453,0.009213323883770375
17,1.7535070140280562,0.007559650366170565
18,1.8537074148296595,0.007087172218284904
19,1.9539078156312626,0.005433498700685093
20,2.0541082164328657,0.004252303330970942
21,2.154308617234469,0.005669737774627924
22,2.254509018036072,0.0037798251830852823
23,2.3547094188376754,0.004016064257028112
24,2.454909819639279,0.001653673517599811
25,2.5551102204408815,0.0018899125915426411
26,2.655310621242485,0.002126151665485471
27,2.7555110220440886,0.002126151665485471
28,2.8557114228456912,0.0025986298133711316
29,2.9559118236472948,0.0009449562957713206
30,3.056112224448898,0.0018899125915426411
31,3.156312625250501,0.001417434443656981
32,3.2565130260521045,0.001417434443656981
33,3.3567134268537075,0.001653673517599811
34,3.4569138276553106,0.0011811953697141507
35,3.557114228456914,0.0011811953697141507
36,3.657314629258517,0.0007087172218284905
37,3.7575150300601203,0.00023623907394283014
38,3.857715430861724,0.0011811953697141507
39,3.957915831663327,0.0011811953697141507
40,4.05811623246493,0.00023623907394283014
41,4.158316633266534,0.0007087172218284905
42,4.258517034068136,0.0004724781478856603
43,4.35871743486974,0.0007087172218284905
44,4.458917835671343,0.0004724781478856603
46,4.6593186372745485,0.00023623907394283014
48,4.859719438877756,0.00023623907394283014
49,4.959919839679358,0.0004724781478856603
51,5.160320641282565,0.00023623907394283014
52,5.260521042084168,0.0007087172218284905
54,5.460921843687375,0.00023623907394283014
55,5.561122244488978,0.00023623907394283014
56,5.661322645290582,0.00023623907394283014
57,5.761523046092185,0.00023623907394283014
59,5.961923847695391,0.00023623907394283014
61,6.162324649298597,0.00023623907394283014
65,6.56312625250501,0.00023623907394283014
69,6.9639278557114235,0.0004724781478856603
74,7.4649298597194385,0.00023623907394283014
75,7.565130260521043,0.0004724781478856603
76,7.6653306613226455,0.00023623907394283014
79,7.965931863727455,0.00023623907394283014
85,8.567134268537075,0.0004724781478856603
88,8.867735470941884,0.00023623907394283014
99,9.969939879759519,0.0004724781478856603
107,10.771543086172345,0.00023623907394283014
108,10.871743486973948,0.0004724781478856603
