 ,Area,Mean,Min,Max,Slice,cm
1,2.693,1245.019,680,2338,1,0
2,2.693,1292.007,665,2373,2,1
3,2.693,1302.589,678,38456,3,2
4,2.693,1313.071,708,2514,4,3
5,2.693,1315.180,696,2374,5,4
6,2.693,1321.806,657,2371,6,5
7,2.693,1290.099,636,2416,7,6
8,2.693,1287.947,686,2475,8,7
9,2.693,1260.456,654,2424,9,8
10,2.693,1223.394,587,2434,10,9
11,2.693,1215.412,616,2594,11,10
12,2.693,1175.696,567,2412,12,11
13,2.693,1150.813,585,2617,13,12
14,2.693,1139.481,606,2442,14,13
15,2.693,1153.146,593,2415,15,14
16,2.693,1133.169,592,2285,16,15
17,2.693,1142.209,596,2216,17,16
18,2.693,1119.277,607,2481,18,17
19,2.693,1120.516,612,2145,19,18
20,2.693,1119.027,579,2097,20,19
21,2.693,1650.234,815,3525,21,20
22,2.693,2705.330,1223,5326,22,21
23,2.693,3382.015,1672,7069,23,22
24,2.693,3913.981,1990,9241,24,23
25,2.693,4594.207,2422,10603,25,24
26,2.693,5157.263,2525,11570,26,25
27,2.693,5535.554,2955,13485,27,26
28,2.693,6104.908,3368,14145,28,27
29,2.693,6553.567,3624,14993,29,28
30,2.693,7096.729,3932,16119,30,29
31,2.693,7717.856,4307,16221,31,30
32,2.693,8103.512,4479,17618,32,31
33,2.693,8208.801,4492,17409,33,32
34,2.693,8921.325,5159,19225,34,33
35,2.693,9116.516,5147,19059,35,34
36,2.693,9465.396,5430,20141,36,35
37,2.693,9373.646,5325,19228,37,36
38,2.693,9436.812,5381,20903,38,37
39,2.693,9217.651,5034,19784,39,38
40,2.693,9320.370,5318,19865,40,39
41,2.693,9281.460,5048,19327,41,40
42,2.693,9251.669,5281,18696,42,41
43,2.693,9152.168,5202,18344,43,42
44,2.693,9093.015,4983,19049,44,43
45,2.693,9415.851,5288,18568,45,44
46,2.693,9404.730,4909,18302,46,45
47,2.693,9526.029,5361,18971,47,46
48,2.693,9501.562,5610,17911,48,47
49,2.693,9857.367,5691,19643,49,48
50,2.693,9917.932,5455,19366,50,49
51,2.693,10374.977,6047,19512,51,50
52,2.693,10319.614,6077,20722,52,51
